,,,,,,,,Input Method,Input Method,"Web Fonts
",Web Fonts,"            i18n support (plurals, gender, grammar)",Language Selector,"            i18n support (plurals, gender, grammar)",Translation,Translation Aids,Translation Aids,Translation Aids
pis,pis,,Pijin,Pijin,,,,,,,,,✔,,✔,,,
pko,pko,,Pökoot,Pökoot,,,,,,,,,✔,,✔,,,
pli,pi,,Pali,पालि,pi,,,,,,,,✔,,✔,,,
pms,pms,,Piedmontese,Piemontèis,pms,,,,,,,,✔,,✔,,,
pnb,pnb,,Western Punjabi,پنجابی,pnb,,,,,,,,✔,,✔,,,
pnt,pnt,,Pontic,Ποντιακά,pnt,,,,,,,,✔,,✔,,,
pol,pl,,Polish,polski,pl,,,,,,,,✔,,✔,,,
por,pt,,Portuguese,português,pt,,,,,,✔,,✔,,✔,,,
por-br,pt-br,,Brazilian Portuguese,português do Brasil,,,,,,,,,✔,,✔,,,
prg,prg,,Prussian,Prūsiskan,,X,,,,,,,✔,,✔,,,
pus,ps,✔,Pashto,پښتو,ps,,,,,,,,✔,,✔,,,
que,qu,✔,,Runa Simi,qu,,,,,,,,✔,,✔,,,
qug,qug,,,Runa Shimi,,,,,,,,,✔,,✔,,,
rap,rap,,Rapanui,arero rapa nui,,,,,,,,,✔,,✔,,,
rgn,rgn,,Romagnol,Rumagnôl,,,,,,,,,✔,,✔,,,
rif,rif,,Tarifit,Tarifit,,,,,✔,,,,✔,,✔,,,
rki,rki,,Rakhine,ရခိုင်,,,,,,,,,✔,,✔,,,
rmy,rmy,,Romani,Romani,rmy,,,,,,,,✔,,✔,,,
roh,rm,,Romansh,rumantsch,rm,,,,,,,,✔,,✔,,,
ron,ro,,Romanian,română,ro,,,,,,,,✔,,✔,,,
rue,rue,,Rusyn,русиньскый,rue,,,,,,,,✔,,✔,,,
run,rn,,Rundi,Kirundi,rn,,,,,,,,✔,,✔,,,
rup,roa-rup,,Aromanian,Armãneashce,rup,,,,,,,,✔,,✔,,,
ruq,ruq,,Megleno-Romanian,Влахесте,,X,,,,,,,✔,,✔,,,
ruq-cyrl,ruq-cyrl,,,Влахесте,,X,,,,,,,✔,,✔,,,
ruq-grek,ruq-grek,,,(UNKNOWN),,,,,,,,,✔,,✔,,,
ruq-latn,ruq-latn,,,Vlăheşte,,X,,,,,,,✔,,✔,,,
rus,ru,,Russian,русский,ru,,,,,,,,✔,✔,✔,,,
ryu,ryu,,Central Okinawan,ʔucināguci,,,,,,,,,✔,,✔,,,
sag,sg,,Sango,Sängö,sg,,,,,,,,✔,,✔,,,
sah,sah,,Yakut,саха тыла,sah,,,,✔,,,,✔,,✔,,,
san,sa,,Sanskrit,संस्कृतम्,sa,,,,✔,,✔,,✔,,✔,,,
sat,sat,,Santali,Santali,,,,,,,,,✔,,✔,,,
saz,saz,,Saurashtra,ꢱꣃꢬꢵꢯ꣄ꢡ꣄ꢬꢵ,,,,,,,,,✔,,✔,,,
scn,scn,,Sicilian,sicilianu,scn,,,,,,,,✔,,✔,,,
sco,sco,,Scots,Scots,sco,,,,,,,,✔,,✔,,,
sdc,sdc,,Sassarese,Sassaresu,,X,,,,,,,✔,,✔,,,
sei,sei,,Seri,Cmique Itom,,X,,,,,,,✔,,✔,,,
sgs,bat-smg,,Samogitian,žemaitėška,sgs,,,,,,,,,,✔,,,
shi,shi,,Tachelhit/Shilha,Tašlḥiyt,,X,,,✔,,,,✔,,✔,,,
shi-latn,shi-latn,,,Tašlḥiyt,,X,,,,,,,✔,,✔,,,
shi-tfng,shi-tfng,,,ⵜⴰⵛⵍⵃⵉⵜ,,X,,,,,,,,,✔,,,
sin,si,,Sinhala,සිංහල,si,,,,✔,,,,,,✔,,,
sli,sli,,Lower Silesian,Schläsch,,X,,,,,,,✔,,✔,,,
slk,sk,,Slovak,slovenčina,sk,,,,✔,,,,,,✔,,,
slr,slr,,Salar,Salırça,,,,,,,,,✔,,✔,,,
slv,sl,,Slovenian,slovenščina,sl,,,,,,,,✔,✔,✔,,,
sly,sly,,Selayar,Bahasa Selayar,,,,,,,,,✔,,✔,,,
sma,sma,,Southern Sami,åarjelsaemien,,X,,,,,,,✔,,✔,,,
sme,se,,Northern Sami,sámegiella,se,,,,✔,,,,✔,,✔,,,
smj,smj,,Lule Sami,julevsámegiella,,,,,,,,,✔,,,,,
smn,smn,,Inari Sami,anarâškielâ,,,,,,,,,✔,,,,,
smo,sm,,Samoan,Gagana Samoa,sm,,,,,,,,✔,,✔,,,
sms,sms,,Skolt Sami,sää´mǩiõll,,,,,,,,,✔,,,,,
sna,sn,,Shona,chiShona,sn,,,,,,,,✔,,✔,,,
snd,sd,✔,Sindhi,سنڌي,sd,,,,,,,,✔,,✔,,,
som,so,,Somali,Soomaaliga,so,,,,,,,,✔,,✔,,,
sot,st,,Southern Sotho,Sesotho,st,,,,,,,,✔,,✔,,,
spa,es,,Spanish,español,es,,,,,,✔,,✔,,✔,,,
spa-419,es-419,,,español de America Latina,,,,,,,,,✔,,✔,,,
spa-formal,es-formal,,,español (formal),,,,,,,,,✔,,✔,,,
sqi,sq,✔,Albanian,shqip,sq,,,,,,✔,,✔,,✔,,,
srd,sc,✔,Sardinian,sardu,sc,,,,,,,,✔,,✔,,,
srn,srn,,,Sranantongo,srn,,,,,,,,✔,,✔,,,
srp,sr,,Serbian,српски / srpski,sr,,,,✔,,,,✔,,✔,,,
srp-cyrl,sr-cyrl,,,српски,,,,,,,,,✔,,✔,,,
srp-ec,sr-ec,,,српски,,,,,,,,,✔,,✔,,,
srp-el,sr-el,,,srpski,,,,,,,,,✔,,✔,,,
srp-latn,sr-latn,,,srpski,,,,,,,,,✔,,✔,,,
ssw,ss,,Swati,SiSwati,ss,,,,,,,,✔,,✔,,,
stq,stq,,Saterlandic,Seeltersk,stq,,,,,,,,✔,,✔,,,
sun,su,,Sundanese,Basa Sunda,su,,,,,,,,✔,,✔,,,
swb,swb,,Maore Comorian,Shikomoro,,,,,,,,,✔,,✔,,,
swe,sv,,Swedish,svenska,sv,,,,✔,,✔,,✔,,✔,,,
swh,sw,,Swahili,Kiswahili,sw,,,,,,✔,,✔,,✔,,,
sxu,sxu,,Upper Saxon        ,Säggssch,,,,,,,,,✔,,✔,,,
szl,szl,,Silesian,ślůnski,szl,,,,,,,,✔,,✔,,,
tah,ty,,Tahitian,Reo Mā`ohi,ty,,,,,,,,✔,,✔,,,
tam,ta,,Tamil,தமிழ்,ta,,,,✔,,✔,,✔,,✔,,,
tat,tt,,Tatar,татарча/tatarça,tt,,,,,,,,✔,,✔,,,
tat-cyrl,tt-cyrl,,,татарча,,,,,,,,,✔,,✔,,,
tat-latn,tt-latn,,,tatarça,,,,,,,,,✔,,✔,,,
tcy,tcy,,Tulu,ತುಳು,,X,,,✔,,,,✔,,✔,,,
tel,te,,Telugu,తెలుగు,te,,,,✔,,✔,,✔,,✔,,,
tet,tet,,Tetum,tetun,tet,,,,,,,,✔,,✔,,,
tgk,tg,,Tajik,тоҷикӣ,tg,,,,,,,,✔,,✔,,,
tgk-cyrl,tg-cyrl,,,тоҷикӣ,,,,,,,,,✔,,✔,,,
tgk-latn,tg-latn,,,tojikī,,,,,,,,,✔,,✔,,,
tgl,tl,,Tagalog,Tagalog,tl,,,,,,✔,,✔,,✔,,,
tha,th,,Thai,ไทย,th,,,,✔,,,,✔,,✔,,,
tir,ti,,Tigrinya,ትግርኛ,ti,,,,,,✔,,✔,,✔,,,
tkr,tkr,,Tsakhur,ЦӀаьхна миз,,,,,,,,,✔,,✔,,,
tly,tly,,Talysh,толышә зывон,,,,,,,,,✔,,✔,,,
ton,to,,Tonga (Tonga Islands),lea faka-Tonga,to,,,,,,,,✔,,✔,,,
tpi,tpi,,Tok Pisin,Tok Pisin,tpi,,,,,,,,✔,,✔,,,
trp,trp,,Kok Borok (Tripuri),Kokborok (Tripuri),,,,,,,,,✔,,✔,,,
tru,tru,,Turoyo,Ṫuroyo,,X,,,,,,,✔,,✔,,,
tsd,tsd,,Tsakonian,Τσακωνικά,,,,,,,,,✔,,✔,,,
tsn,tn,,Tswana,Setswana,tn,,,,,,,,✔,,✔,,,
tso,ts,,Tsonga,Xitsonga,ts,,,,,,,,✔,,✔,,,
ttt,ttt,,Tat,Tati,,,,,,,,,✔,,✔,,,
tuk,tk,,Turkmen,Türkmençe,tk,,,,,,,,✔,,✔,,,
tum,tum,,Tumbuka,chiTumbuka,tum,,,,,,,,✔,,✔,,,
tur,tr,,Turkish,Türkçe,tr,,,,,,✔,,✔,,✔,,,
twd,twd,,Twents,Kurdî,,,,,,,,,✔,,✔,,,
twi,tw,,Twi,Twi,tw,,,,,,,,✔,,✔,,,
tyv,tyv,,Tuvinian,тыва дыл,,,,,,,,,✔,,✔,,,
tzm,tzm,,Central Atlas Tamazight,ⵜⴰⵎⴰⵣⵉⵖⵜ,,,,,,,,,✔,,✔,,,
udm,udm,,Udmurt,удмурт,udm,,,,,,,,✔,,✔,,,
uig,ug,,Ughyur,ئۇيغۇرچە,ug,,,,✔,,,,✔,,✔,,,
uig-arab,ug-arab,,,ئۇيغۇرچە,,,,,,,,,✔,,✔,,,
uig-cyrl,ug-cyrl,,,уйғурчә,,,,,,,,,✔,,✔,,,
uig-latn,ug-latn,,,Uyghurche,,,,,,,,,✔,,✔,,,
ukr,uk,,Ukranian,українська,uk,,,,✔,,,,✔,✔,✔,,,
urd,ur,,Urdu,اردو,ur,,,,✔,,,,✔,,✔,,,
uzb,uz,✔,Uzbek,oʻzbekcha,uz,,,,✔,,,,✔,,✔,,,
vec,vec,,Venetian,vèneto,vec,,,,,,,,✔,,✔,,,
ven,ve,,Venda,Tshivenda,ve,,,,,,,,✔,,✔,,,
vep,vep,,Veps,vepsän kel’,vep,,,,,,,,✔,,✔,,,
vie,vi,,Vietnamese,Tiếng Việt,vi,,,,,,,,✔,,✔,,,
vls,vls,,Vlaams,West-Vlams,vls,,,,,,,,✔,,✔,,,
vmf,vmf,,East Franconian German,Mainfränkisch,,,,,,,,,✔,,✔,,,
vol,vo,,Volapük,Volapük,vo,,,,,,,,✔,,✔,,,
vot,vot,,Votic,Vaďďa,,,,,,,,,✔,,✔,,,
vro,fiu-vro,,Võro,Võro,vro,,,,,,,,✔,,✔,,,
war,war,,Waray,Winaray,war,,,,,,,,✔,,✔,,,
wln,wa,,Walloon,walon,wa,,,,,,✔,,✔,,✔,,,
wls,wls,,Wallisian,Faka'uvea,,,,,,,,,✔,,✔,,,
wol,wo,,Wolof,Wolof,wo,,,,,,,,✔,,✔,,,
wuu,wuu,,Wuu Chinese,吴语,,,,,,,,,✔,,✔,,,
xal,xal,,Kalmyk,хальмг,xal,,,,,,,,✔,,✔,,,
xho,xh,,Xhosa,isiXhosa,xh,,,,,,,,✔,,✔,,,
xmf,xmf,,Mingrelian,მარგალური,xmf,,,,,,,,✔,,✔,,,
ydd,ydd,,Eastern Yiddish,Eastern Yiddish,,,,,,,,,✔,,✔,,,
yid,yi,✔,Yiddish,ייִדיש,yi,,,,,,,,✔,,✔,,,
yor,yo,,Yoruba,Yorùbá,yo,,,,,,,,✔,,✔,,,
yrk,yrk,,Nenets,Ненэцяʼ вада,,,,,,,,,✔,,✔,,,
yrl,yrl,,Nhengatu,ñe'engatú,,,,,,,,,✔,,✔,,,
yua,yua,,Yucateco,Maaya T'aan,,,,,,,,,✔,,✔,,,
yue,zh-yue,,Cantonese,粵語,yue,,,,,,,,✔,,✔,,,
zea,zea,,Zeeuws,Zeêuws,zea,,,,,,,,✔,,✔,,,
zha,za,✔,Zhuang,Vahcuengh,za,,,,,,,,✔,,✔,,,
zho,zh,✔,Chinese,中文,zh,,,,,,,,✔,,✔,,,
zho-classical,zh-classical,,Chinese Classical,文言,,,,,,,,,✔,,,,,
zho-cn,zh-cn,,,中文（中国大陆,zh-CN,,,,,,,,✔,,✔,,,
zho-hans,zh-hans,,,中文（简体),,,,,,,,,✔,,✔,,,
zho-hant,zh-hant,,,中文（繁體）,,,,,,,,,✔,,✔,,,
zho-hk,zh-hk,,,中文（香港）,zh-HK,,,,,,,,✔,,✔,,,
zho-mo,zh-mo,,,中文（澳門）,,,,,,,,,✔,,,,,
zho-my,zh-my,,,中文（马来西亚）,,,,,,,,,✔,,,,,
zho-sg,zh-sg,,,中文（新加坡）,zh-SG,,,,,,,,✔,,✔,,,
zho-tw,zh-tw,,,中文（台灣）,zh-TW,,,,,,,,✔,,✔,,,
zul,zu,,Zulu,isiZulu,zu,,,,,,,,✔,,✔,,,
