,,,,,,,,Input Method,Input Method,"Web Fonts
",Web Fonts,"            i18n support (plurals, gender, grammar)",Language Selector,"            i18n support (plurals, gender, grammar)",Translation,Translation Aids,Translation Aids,Translation Aids
bcc,bcc,,Southern Baluchi,بلوچی مکرانی,,,,,,,,,✔,,✔,,,
bcl,bcl,,Central Bikol,Bikol Central,bcl,,,,,,,,✔,,✔,,,
bel,be,,Belarussian,беларуская,be,,,,✔,,,,✔,,✔,,,
bel-tarask,be-x-old,,Belarussian Taraškievica,беларуская (тарашкевіца)‎,be-tarask,,,,✔,,,,✔,,✔,,,
ben,bn,,Bengali,বাংলা,bn,,,✔,✔,✔,✔,✔,✔,✔,✔,,,
bew,bew,,Betawi,Bahasa Betawi,,,,,,,,,✔,,✔,,,
bfq,bfq,,Badaga,படகா,,,,,,,,,✔,,✔,,,
bho,bh,,Bhojpuri,भोजपुरी,bho,X,,,,,✔,,✔,,✔,,,
bis,bi,,Bislama,Bislama,bi,,,,,,,,✔,,✔,,,
bjn,bjn,,Banjar,Bahasa Banjar,bjn,,,,,,,,✔,,✔,,,
bod,bo,,Tibetan,བོད་ཡིག,bo,,,,,,✔,,✔,,✔,,,
bos,bs,,Bosnian,bosanski,bs,,,,,,,,✔,✔,✔,,,
bpy,bpy,,Bishnupriya Manipuri,বিষ্ণুপ্রিয়া মণিপুরী,bpy,,,,,,,,✔,,✔,,,
bqi,bqi,,Bakhtiari,بختياري,,,,,,,,,✔,,✔,,,
bre,br,,Breton,brezhoneg,br,,,,,,,,✔,,✔,,,
brh,brh,,Brahui,Bráhuí,,,,,,,,,✔,,✔,,,
brx,brx,,Bodo,बोड़ो,,,,,,,,,✔,,✔,,,
bto,bto,,Rinconada Bikol,Iriga Bicolano,,,,,,,,,✔,,✔,,,
bug,bug,,Buginese,ᨅᨔ ᨕᨘᨁᨗ,,,,,,,✔,,✔,,✔,,,
bul,bg,,Bulgarian,български,bg,,,,,,,,✔,,✔,,,
bxr,bxr,,Russia Buriat,буряад,bxr,,,,,,,,✔,,✔,,,
cat,ca,,Catalan; Valencian,català,ca,,,,,,✔,,✔,,✔,,,
cbk,,,Chavacano,Chavacano,,,,,,,,,,,,,,
cbk-zam,cbk-zam,,Chavacano de Zamboanga,Chavacano de Zamboanga,cbk-zam,,,,,,,,✔,,✔,,,
cdo,cdo,,Min Dong Chinese,Mìng-dĕ̤ng-ngṳ̄,cdo,,,,,,✔,,✔,,✔,,,
ceb,ceb,,Cebuano,Cebuano,ceb,,,,,,,,✔,,✔,,,
ces,cs,,Czech,česky,cs,,,,,,,,✔,,✔,,,
cha,ch,,Chamorro,Chamoru,ch,,,,,,,,✔,,✔,,,
che,ce,,Chechen,нохчийн,ceb,,,,✔,,,,✔,,✔,,,
cho,cho,,Choctaw,Choctaw,cho,,,,,,,,✔,,✔,,,
chr,chr,,Cherokee,ᏣᎳᎩ,chr,,,,,,,,✔,,✔,,,
chu,cu,,Church Slavic,словѣ́ньскъ / ⰔⰎⰑⰂⰡⰐⰠⰔⰍⰟ,cu,,,,,,,,✔,,✔,,,
chv,cv,,Chuvash,Чӑвашла,cv,,,,,,,,✔,,✔,,,
chy,chy,,Cheyenne,Tsetsêhestâhese,chy,,,,,,,,✔,,✔,,,
ckb,ckb,,Central Kurdish/Kurdish Sorani,کوردی,ckb,,,,,,,,✔,,✔,,,
cor,kw,,Cornish,kernowek,kw,,,,,,,,✔,,✔,,,
cos,co,,Corsican,corsu,co,,,,,,,,✔,,✔,,,
cps,cps,,Capiznon,Capiceño,,,,,,,,,✔,,✔,,,
cre,cr,✔,Cree,Nēhiyawēwin / ᓀᐦᐃᔭᐍᐏᐣ,cr,,,,,,,,✔,,✔,,,
cre-cans,cr-cans,,,ᓀᐦᐃᔭᐍᐏᐣ,,,,,,,,,,,✔,,,
cre-latn,cr-latn,,,Nēhiyawēwin,,,,,,,,,,,✔,,,
crh,crh,,,qırımtatarca,crh-Latn,,,,,,,,✔,,✔,,,
crh-cyrl,crh-cyrl,,,къырымтатарджа (Кирилл),,,,,,,,,✔,,✔,,,
crh-latn,crh-latn,,Crimean Tatar;Crimean Turkish,qırımtatarca (Latin),,,,,,,,,✔,,✔,,,
csb,csb,,Kashubian,kaszëbsczi,csb,,,,,,,,✔,,✔,,,
cym,cy,,Welsh,Cymraeg,cy,,,,,,✔,,✔,,✔,,,
dan,da,,Danish,dansk,da,,,,✔,,✔,,✔,,✔,,,
deu,de,,German,Deutsch,de,,,,✔,,✔,,✔,,✔,,,
deu-at,de-at,,Austrian German,Österreichisches Deutsch,,,,,,,,,✔,,✔,,,
deu-ch,de-ch,,Swiss Standard German,Schweizer Hochdeutsch,,,,,,,,,✔,,✔,,,
deu-formal,de-formal,,German - formal address,Deutsch (Sie-Form),,,,,,,,,✔,,✔,,,
diq,diq,,Dimli (individual language),Zazaki,diq,,,,,,,,✔,,✔,,,
div,dv,,Divehi,ދިވެހިބަސް,dv,,,,,,,,✔,,✔,,,
dsb,dsb,,Lower Sobian,dolnoserbski,dsb,,,,,,,,✔,✔,✔,,,
dtp,dtp,,Dusun,Dusun Bundu-liwan,,,,,,,,,✔,,✔,,,
dzo,dz,,Dzongkha,ཇོང་ཁ,dz,,,,,,✔,,✔,,✔,,,
